product_id,title,category,description,price,avg_rating,review_count
B01LYEEFVH,Instant Pot DUO80 8 Qt 7-in-1,Kitchen,"7-in-1 pressure cooker, slow cooker, rice cooker, steamer, saut̩, yogurt maker and warmer",99.95,4.7,25430
B07PGL8355,Fire TV Stick 4K,Electronics,4K Ultra HD streaming device with Alexa Voice Remote (includes TV controls),49.99,4.6,98721
B07XKF5RM3,Echo Dot (4th Gen),Electronics,Smart speaker with Alexa | Glacier White,49.99,4.7,85642
B08N5KWB9H,Kindle Paperwhite,Books,"Waterproof, 8GB, 6.8\ display",149.95,4.8,43215
B08KTZCF4N,Apple AirPods Pro,Electronics,Active Noise Cancelling wireless earbuds,249,4.6,128753
B07W6ZQYJR,LEGO Ideas Tree House,Toys,3036-piece building kit with 3 cabins and foliage elements,249.99,4.9,5421
B08H95Y452,Nintendo Switch with Neon Joy-Con,Gaming,Console with Neon Blue and Neon Red Joy-Con controllers,299.99,4.8,87654
B08J8FL9J2,PlayStation 5 Digital Edition,Gaming,"Ultra-high speed SSD, 4K UHD Blu-ray drive",399.99,4.9,65432
B08FC5L3RG,Xbox Series S,Gaming,Next-gen console with 512GB SSD,299.99,4.7,54321
B07VGRJDFY,Apple Watch Series 6,Electronics,"GPS, 44mm Space Gray Aluminum Case with Black Sport Band",429,4.8,76543
B08L5WD9D6,"Samsung 55\"" QLED TV",Electronics,4K Smart TV with Quantum HDR and Alexa Built-in,697.99,4.7,32145
B08BX7FV5L,Yeti Rambler 20 oz Tumbler,Kitchen,Vacuum insulated stainless steel tumbler with MagSlider lid,29.99,4.8,87654
B07R2W9D3X,All-new Blink Mini,Electronics,Compact indoor plug-in smart security camera,34.99,4.3,54321
B07K1J3C23,Anker PowerCore 10000,Electronics,Portable charger with PowerIQ technology,25.99,4.6,98765
B07T81554H,AmazonBasics Silicone Baking Mat,Kitchen,Non-stick mat for baking and kneading dough,14.99,4.7,54321
B08N5LNQCX,23andMe Health + Ancestry Kit,Health,DNA testing kit with personalized health insights,199,4.5,43215
B08PDN2R3C,The Lean Startup by Eric Ries,Books,New York Times bestseller about entrepreneurship,14.99,4.6,8765
B08T4Y6HJX,Columbia Men's Newton Ridge Boots,Clothing,Waterproof hiking boots with advanced traction,79.99,4.7,5432
B08G1Y9XNK,Adidas Unisex-Child Gamecourt Shoes,Clothing,Casual sneakers with cloudfoam cushioning,40,4.6,3214
B08CX5JL4D,Simple Modern 40oz Tumbler,Kitchen,Vacuum insulated stainless steel water bottle with straw lid,29.99,4.8,7654
B08JQQ1VD1,Logitech MX Master 3,Electronics,Wireless mouse with ultra-fast scrolling,99.99,4.8,5432
B08K3S6WJS,Blue Yeti USB Microphone,Electronics,Professional condenser mic with multiple patterns,129.99,4.7,8765
B08F7H7J9V,Canon EOS Rebel T7,Electronics,DSLR camera with 18-55mm lens,449.99,4.6,5432
B08N5K5D5S,Nespresso Vertuo Next,Kitchen,Coffee and espresso maker with 5 cup sizes,179.99,4.7,4321
B08HR5SXPS,HP 24mh FHD Monitor,Electronics,23.8-inch IPS display with built-in speakers,169.99,4.6,3214
B08L8J1G3Q,Amazon Smart Plug,Electronics,Wi-Fi enabled plug that works with Alexa,24.99,4.5,7654
B08L3QCZZX,UGG Women's Classic Short Boot,Clothing,Geniune sheepskin boots with suede heel guard,149.95,4.7,5432
B08K3Y2D5T,Allbirds Women's Wool Runners,Clothing,Sustainable merino wool sneakers,95,4.8,4321
B08HRJV5FP,Shark Navigator Lift-Away Vacuum,Home,Bagless upright vacuum with HEPA filter,199.99,4.6,3215
B08F2T4L2G,Bose QuietComfort 35 II,Electronics,Wireless noise cancelling headphones,299,4.8,7654
B08N5K5D5T,KitchenAid Artisan Stand Mixer,Kitchen,5-quart tilt-head mixer with 10 speeds,429.99,4.9,5432
B08L8J1G3W,AmazonBasics Foldable Dog Crate,Pet,42-inch portable kennel with divider panel,52.99,4.5,3214
B08K3Y2D5U,Fitbit Charge 4,Electronics,Fitness tracker with built-in GPS,149.95,4.6,4321
B08HRJV5FQ,Yeti Hopper M20 Soft Cooler,Outdoors,Portable cooler with 20-can capacity,299.99,4.7,3215
B08F2T4L2H,Weber Spirit II E-310 Grill,Outdoors,3-burner liquid propane gas grill,549,4.8,5432
B08N5K5D5U,North Face Men's Resolve Jacket,Clothing,Waterproof rain jacket with secure-zip pockets,69,4.7,4321
B08L8J1G3X,OXO Good Grips 12-Inch Tongs,Kitchen,Stainless steel tongs with nylon heads,12.99,4.6,3214
B08K3Y2D5V,Philips Hue White Starter Kit,Electronics,Smart LED bulbs with bridge and dimmer switch,199.99,4.7,5432
B08HRJV5FR,Yeti Rambler 30 oz Tumbler,Kitchen,Vacuum insulated stainless steel tumbler,34.99,4.8,4321
B08F2T4L2I,Apple iPad Air (4th Gen),Electronics,10.9-inch Liquid Retina display with A14 Bionic chip,599,4.8,7654
B08N5K5D5V,Calphalon Premier Space Saving Set,Kitchen,10-piece nonstick cookware set,299.95,4.7,5432
B08L8J1G3Y,AmazonBasics Memory Foam Mattress,Home,8-inch medium-firm memory foam mattress,189.99,4.5,4321
B08K3Y2D5W,GoPro HERO9 Black,Electronics,5K waterproof action camera with front display,449.99,4.7,5432
B08HRJV5FS,Yeti Rambler 18 oz Bottle,Kitchen,Vacuum insulated stainless steel water bottle,29.99,4.8,3215
B08F2T4L2J,Sony WH-1000XM4 Headphones,Electronics,Wireless noise cancelling over-ear headphones,348,4.8,7654
B08N5K5D5W,LEGO Star Wars Millennium Falcon,Toys,"7,541-piece Ultimate Collector Series model",849.99,4.9,3214
B08L8J1G3Z,AmazonBasics Security Safe,Home,0.5 cubic foot electronic safe with keys,49.99,4.4,5432
B08K3Y2D5X,Patagonia Men's Better Sweater,Clothing,Full-zip fleece jacket made from recycled polyester,139,4.7,4321
B08HRJV5FT,Stanley Classic Vacuum Bottle,Kitchen,1.0 QT insulated thermos with leak-proof lid,35,4.6,3215
B08F2T4L2K,Apple MacBook Air M1,Electronics,13.3-inch Retina display with 8-core CPU,999,4.9,8765
SKU000001,Yeti Rambler 20 oz Tumbler,Kitchen,Vacuum insulated stainless steel tumbler with MagSlider lid,29.24,5,59156
SKU000002,Sony WH-1000XM4 Headphones,Electronics,Wireless noise cancelling over-ear headphones,379.37,5,10376
SKU000003,Nintendo Switch with Neon Joy-Con,Gaming,Console with Neon Blue and Neon Red Joy-Con controllers,313.91,4.2,63740
SKU000004,Apple Watch Series 6,Electronics,"GPS, 44mm Space Gray Aluminum Case with Black Sport Band",437.46,4.4,102341
SKU000005,Sony WH-1000XM4 Headphones,Electronics,Wireless noise cancelling over-ear headphones,324.06,4.6,5964
SKU000006,The Lean Startup by Eric Ries,Books,New York Times bestseller about entrepreneurship,13.96,4.6,10017
SKU000007,Amazon Smart Plug,Electronics,Wi-Fi enabled plug that works with Alexa,22.78,4.7,9140
SKU000008,Logitech MX Master 3,Electronics,Wireless mouse with ultra-fast scrolling,107.31,4.6,5500
SKU000009,Allbirds Women's Wool Runners,Clothing,Sustainable merino wool sneakers,96.92,4.9,3479
SKU000010,LEGO Star Wars Millennium Falcon,Toys,"7,541-piece Ultimate Collector Series model",885.36,4.7,2290
SKU000011,Fire TV Stick 4K,Electronics,4K Ultra HD streaming device with Alexa Voice Remote (includes TV controls),45.2,4.4,52636
SKU000012,GoPro HERO9 Black,Electronics,5K waterproof action camera with front display,492.28,4.3,4367
SKU000013,Instant Pot DUO80 8 Qt 7-in-1,Kitchen,"7-in-1 pressure cooker, slow cooker, rice cooker, steamer, saut̩, yogurt maker and warmer",106.6,4.4,29324
SKU000014,North Face Men's Resolve Jacket,Clothing,Waterproof rain jacket with secure-zip pockets,65.03,4.3,6214
SKU000015,Amazon Smart Plug,Electronics,Wi-Fi enabled plug that works with Alexa,23.4,4.2,10495
SKU000016,Shark Navigator Lift-Away Vacuum,Home,Bagless upright vacuum with HEPA filter,187.33,4.9,4070
SKU000017,Logitech MX Master 3,Electronics,Wireless mouse with ultra-fast scrolling,96.08,4.5,6998
SKU000018,"Samsung 55\"" QLED TV",Electronics,4K Smart TV with Quantum HDR and Alexa Built-in,701.45,5,37448
SKU000019,Apple iPad Air (4th Gen),Electronics,10.9-inch Liquid Retina display with A14 Bionic chip,590.85,4.9,5819
SKU000020,"Samsung 55\"" QLED TV",Electronics,4K Smart TV with Quantum HDR and Alexa Built-in,668.85,4.8,45234
SKU000021,North Face Men's Resolve Jacket,Clothing,Waterproof rain jacket with secure-zip pockets,70.54,4.4,5058
SKU000022,Stanley Classic Vacuum Bottle,Kitchen,1.0 QT insulated thermos with leak-proof lid,32.48,4.8,3409
SKU000023,Yeti Rambler 30 oz Tumbler,Kitchen,Vacuum insulated stainless steel tumbler,33.54,4.6,2640
SKU000024,Apple iPad Air (4th Gen),Electronics,10.9-inch Liquid Retina display with A14 Bionic chip,582.99,4.8,7248
SKU000025,Weber Spirit II E-310 Grill,Outdoors,3-burner liquid propane gas grill,544.18,5,5216
SKU000026,Yeti Hopper M20 Soft Cooler,Outdoors,Portable cooler with 20-can capacity,317.1,4.7,4387
SKU000027,AmazonBasics Security Safe,Home,0.5 cubic foot electronic safe with keys,46.99,4.7,5685
SKU000028,Nespresso Vertuo Next,Kitchen,Coffee and espresso maker with 5 cup sizes,180.5,4.5,3804
SKU000029,Blue Yeti USB Microphone,Electronics,Professional condenser mic with multiple patterns,132.39,4.7,12944
SKU000030,Apple AirPods Pro,Electronics,Active Noise Cancelling wireless earbuds,226.41,5,78632
SKU000031,Fitbit Charge 4,Electronics,Fitness tracker with built-in GPS,153.18,4.4,3986
SKU000032,North Face Men's Resolve Jacket,Clothing,Waterproof rain jacket with secure-zip pockets,64.45,5,2342
SKU000033,AmazonBasics Security Safe,Home,0.5 cubic foot electronic safe with keys,45.64,4.6,6735
SKU000034,Simple Modern 40oz Tumbler,Kitchen,Vacuum insulated stainless steel water bottle with straw lid,32.68,4.6,10853
SKU000035,Adidas Unisex-Child Gamecourt Shoes,Clothing,Casual sneakers with cloudfoam cushioning,43.73,4.8,2507
SKU000036,Weber Spirit II E-310 Grill,Outdoors,3-burner liquid propane gas grill,582.86,5,7378
SKU000037,GoPro HERO9 Black,Electronics,5K waterproof action camera with front display,432.41,4.9,4303
SKU000038,The Lean Startup by Eric Ries,Books,New York Times bestseller about entrepreneurship,13.78,4.1,12365
SKU000039,Sony WH-1000XM4 Headphones,Electronics,Wireless noise cancelling over-ear headphones,360.82,4.6,9597
SKU000040,GoPro HERO9 Black,Electronics,5K waterproof action camera with front display,444.6,4.6,7088
SKU000041,Yeti Hopper M20 Soft Cooler,Outdoors,Portable cooler with 20-can capacity,277.31,4.7,1665
SKU000042,Xbox Series S,Gaming,Next-gen console with 512GB SSD,299.7,4.9,79461
SKU000043,Amazon Smart Plug,Electronics,Wi-Fi enabled plug that works with Alexa,22.66,4.6,9388
SKU000044,Fire TV Stick 4K,Electronics,4K Ultra HD streaming device with Alexa Voice Remote (includes TV controls),54.08,4.2,79445
SKU000045,Xbox Series S,Gaming,Next-gen console with 512GB SSD,285.52,4.8,72214
SKU000046,Xbox Series S,Gaming,Next-gen console with 512GB SSD,309.74,4.9,42453
SKU000047,Apple iPad Air (4th Gen),Electronics,10.9-inch Liquid Retina display with A14 Bionic chip,576.44,5,10507
SKU000048,The Lean Startup by Eric Ries,Books,New York Times bestseller about entrepreneurship,15.05,4.9,5369
SKU000049,Instant Pot DUO80 8 Qt 7-in-1,Kitchen,"7-in-1 pressure cooker, slow cooker, rice cooker, steamer, saut̩, yogurt maker and warmer",100.88,5,30609
